"CERT","CHCLASS1","CITYST","COST","FAILDATE","FIN","ID","NAME","QBFASSET","QBFDEP","RESTYPE","RESTYPE1","SAVR"
"18066","SI","DOVER, NH","7114","8/28/1992","4512","3370","SEACOAST SAVINGS BANK","84808","64786","FAILURE","PI","BIF"
"32388","SB","SILVER SPRING, MD","31995","8/28/1992","1245","3371","POTOMAC FSB","72326","68838","FAILURE","PA","RTC"
"5596","N","YORKTOWN, TX","7614","9/10/1992","4513","3372","THE FIRST NATIONAL BANK OF YORKTOWN","34439","34512","FAILURE","PI","BIF"
"21181","NM","FAIRFAX COUNTY, VA","5071","9/18/1992","4514","3373","THE WASHINGTON BANK","28113","27871","FAILURE","PI","BIF"
"90266","SI","PLYMOUTH, MA","5281","9/18/1992","4515","3374","PLYMOUTH FIVE CENTS SAVINGS BANK","220972","182877","FAILURE","PI","BIF"
"27470","N","LITTLE ROCK, AR","1857","9/24/1992","4516","3375","FIRST EXCHANGE BANK OF LITTLE ROCK","24681","24396","FAILURE","PI","BIF"
"26844","N","CLINTON TOWNSHIP, NJ","2511","9/25/1992","4517","3376","HIGHLANDS COMMUNITY BANK, N.A.","19702","19546","FAILURE","PA","BIF"
"27416","NM","EDISON, NJ","7343","9/25/1992","4518","3377","HOMETOWN BANK","25200","24816","FAILURE","PA","BIF"
"16146","SI","NEWARK, NJ","67979","10/2/1992","4520","3378","THE HOWARD SAVINGS BANK","3461421","3378992","FAILURE","PA","BIF"
"22850","N","KIHEI, HI","870","10/2/1992","4519","3379","EASTWEST BANK, N.A.","3754","3398","FAILURE","IDT","BIF"
"27160","SI","NEW HAVEN, CT","125592","10/2/1992","4521","3380","FIRST CONSTITUTION BANK","1571240","1350530","FAILURE","PA","BIF"
"28998","SB","MANASSAS, VA","75636","10/9/1992","1278","3381","PEIDMONT FSA","444605","370085","FAILURE","PA","RTC"
"15579","NM","RANGER, TX","3","10/16/1992","1998","3382","FREEDOM BANK","20888","20338","ASSISTANCE","A/A","BIF"
"22689","NM","LANHAM, MD","5978","10/16/1992","4522","3383","UNIVERSAL BANK","18026","18050","FAILURE","PO","BIF"
"31418","SL","JACKSON, MS","42647","10/16/1992","1266","3384","SECURITY FS & LA","276476","271387","FAILURE","PA","RTC"
"31543","SB","GAITHERSBURG, MD","527571","10/21/1992","1312","3385","STANDARD FSB","1717520","1539974","FAILURE","PA","RTC"
"1722","SM","DALLAS, TX","0","10/30/1992","4529","3386","FIRST CITY, TEXAS - DALLAS, NA","1359158","1307005","FAILURE","PI","BIF"
"3093","N","BEAUMONT, TX","0","10/30/1992","4526","3387","FIRST CITY, TEXAS - BEAUMONT, NA","532248","488695","FAILURE","PA","BIF"
"3120","N","BRYAN, TX","0","10/30/1992","4527","3388","FIRST CITY, TEXAS - BRYAN, NA","340189","318838","FAILURE","PA","BIF"
"3227","N","GRAHAM, TX","0","10/30/1992","4531","3389","FIRST CITY, TEXAS - GRAHAM, NA","95398","86486","FAILURE","PA","BIF"
"3316","N","LUFKIN, TX","0","10/30/1992","4535","3390","FIRST CITY, TEXAS - LUFKIN, NA","156640","145727","FAILURE","PA","BIF"
"3318","N","MADISONVILLE, TX","0","10/30/1992","4536","3391","FIRST CITY, TEXAS - MADISONVILLE","123394","114740","FAILURE","PA","BIF"
"3344","N","MIDLAND, TX","0","10/30/1992","4537","3392","FIRST CITY, TEXAS - MIDLAND, NA","313055","289991","FAILURE","PA","BIF"
"3374","N","ORANGE, TX","0","10/30/1992","4538","3393","FIRST CITY, TEXAS - ORANGE, NA","131984","122457","FAILURE","PA","BIF"
"5506","N","SAN ANGELO, TX","0","10/30/1992","4539","3394","FIRST CITY, TEXAS - SAN ANGELO,","142819","131932","FAILURE","PA","BIF"
"5562","N","TYLER, TX","0","10/30/1992","4542","3395","FIRST CITY, TEXAS - TYLER, NA","259208","231534","FAILURE","PA","BIF"
"11914","NM","SOUR LAKE, TX","0","10/30/1992","4541","3396","FIRST CITY, TEXAS - SOUR LAKE","53521","48823","FAILURE","PA","BIF"
"13702","N","HOUSTON, TX","0","10/30/1992","4532","3397","FIRST CITY, TEXAS - HOUSTON, NA","2802064","2519978","FAILURE","PI","BIF"
"15721","N","AUSTIN, TX","0","10/30/1992","4525","3398","FIRST CITY, TEXAS - AUSTIN, NA","345518","331568","FAILURE","PI","BIF"
"16524","NM","LAKE JACKSON, TX","0","10/30/1992","4534","3399","FIRST CITY, TEXAS - LAKE JACKSON","104302","96353","FAILURE","PA","BIF"
