"CERT","CHCLASS1","CITYST","COST","FAILDATE","FIN","ID","NAME","QBFASSET","QBFDEP","RESTYPE","RESTYPE1","SAVR"
"17200","NM","COLUMBIA, SC","0","3/26/1999","4634","3516","VICTORY STATE BANK","13205","12887","FAILURE","PA","BIF"
"13300","SM","TUCUMCARI, NM","2222","4/23/1999","4635","3517","ZIA NEW MEXICO BANK","17251","16708","FAILURE","PA","BIF"
"25272","N","MARSHALL, TX","9855","7/9/1999","4636","3518","EAST TEXAS NB OF MARSHALL","121564","113054","FAILURE","PA","BIF"
"32491","SB","NORTH MIAMI BEACH, FL","1195","7/9/1999","6002","3519","OCEANMARK BANK, A FSB","68981","61303","FAILURE","PA","SAIF"
"6771","N","KEYSTONE, WV","532198","9/1/1999","4637","3520","FIRST NB OF KEYSTONE","1119865","880859","FAILURE","PI","BIF"
"18147","N","MIAMI, FL","3342","9/10/1999","4638","3521","PEOPLES NB OF COMMERCE","36823","35946","FAILURE","PA","BIF"
"27415","NM","WOODLAND HILLS, CA","42049","11/22/1999","4639","3522","PACIFIC THRIFT AND LOAN CO","127342","119451","FAILURE","PI","BIF"
"26748","NM","NEW YORK, NY","","12/10/1999","4640","3523","GOLDEN CITY COMMERCIAL BANK","87158","80365","FAILURE","PA","BIF"
"14228","NM","CARLISLE, IA","11574","1/14/2000","4641","3524","HARTFORD-CARLISLE SB","105044","68549","FAILURE","PI","BIF"
"27886","SB","ATLANTA, GA","1322","3/10/2000","6003","3525","MUTUAL FEDERAL SAVINGS BANK OF ATLANTA","31479","32234","FAILURE","PA","SAIF"
"25056","N","RIDGECREST, CA","617","6/2/2000","4642","3526","MONUMENT NATIONAL BANK","7923","7680","FAILURE","PA","BIF"
"10985","NM","ALMELUND, MN","1363","7/14/2000","4643","3527","TOWN & COUNTRY BANK OF ALMELUND","25942","26667","FAILURE","PI","BIF"
"338","NM","FALKNER, MS","14592","9/29/2000","4644","3528","BANK OF FALKNER","85485","77140","FAILURE","PI","BIF"
"21029","NM","HONOLULU, HI","400","10/13/2000","4645","3529","BANK OF HONOLULU","63890","59037","FAILURE","PI","BIF"
"3815","N","METROPOLIS, IL","2670","12/14/2000","4646","3530","NATIONAL STATE BANK OF METROPOLIS","90397","71277","FAILURE","PI","BIF"
"34264","NM","MANCHESTER, NH","817","2/2/2001","4647","3531","FIRST ALLIANCE BANK AND TRUST CO","17438","16931","FAILURE","PA","BIF"
"6629","N","MALTA, OH","769","5/3/2001","4648","3532","MALTA NATIONAL BANK","9075","8728","FAILURE","PA","BIF"
"32646","SB","HINSDALE, IL","286673","7/27/2001","6004","3533","SUPERIOR BANK, FSB","1765455","1609501","FAILURE","PI","SAIF"
"34248","N","GRAVETTE, AR","4206","9/7/2001","4649","3534","SINCLAIR NATIONAL BANK","29792","26054","FAILURE","PI","BIF"
"24382","N","MIAMI, FL","101748","1/11/2002","4650","3535","HAMILTON BANK, NATIONAL ASSOCIATION","1409496","1298731","FAILURE","PI","BIF"
"22002","NM","SIERRA BLANCA, TX","4574","1/18/2002","4651","3536","BANK OF SIERRA BLANCA","10764","9914","FAILURE","PI","BIF"
"8966","SM","OAKWOOD, OH","63600","2/1/2002","4652","3537","OAKWOOD DEPOSIT BANK","72267","60168","FAILURE","PI","BIF"
"22314","N","PHOENIX, AZ","164047","2/7/2002","4653","3538","NEXTBANK","700180","551297","FAILURE","PO","BIF"
"26652","N","BOCA RATON, FL","0","3/1/2002","4654","3539","NET FIRST NATIONAL BANK","37207","31601","FAILURE","PI","BIF"
"34979","SM","SHELBY TOWNSHIP, MI","4440","3/28/2002","4655","3540","NEW CENTURY BANK","21091","18902","FAILURE","PO","BIF"
"19183","NM","STAMFORD, CT","53784","6/26/2002","4656","3541","CONNECTICUT BANK OF COMMERCE","384172","344416","FAILURE","PI","BIF"
"29355","SB","CHICAGO, IL","274","6/27/2002","6005","3542","UNIVERSAL FSB","51628","40340","FAILURE","PI","SAIF"
"33784","SM","ATLANTA, GA","1326","9/30/2002","4657","3543","AMTRADE INTERNATIONAL BANK OF GEORGIA","92144","73205","FAILURE","PO","BIF"
"9961","NM","ALAMO, TN","9316","11/8/2002","4658","3544","BANK OF ALAMO","58454","52157","FAILURE","PO","BIF"
"16445","NM","CHENEYVILLE, LA","12205","12/17/2002","4659","3545","THE FARMERS BANK & TRUST OF CHENEYVILLE","35317","32103","FAILURE","PI","BIF"
"27094","NM","TORRANCE, CA","49179","2/7/2003","4660","3546","SOUTHERN PACIFIC BANK","904294","864160","FAILURE","PI","BIF"
"11639","N","BLANCHARDVILLE, WI","12788","5/9/2003","4661","3547","THE FIRST NATIONAL BANK OF BLANCHARDVILLE","34536","28760","FAILURE","PI","BIF"
"27203","SI","PHILADELPHIA, PA","679","11/14/2003","4662","3548","PULASKI SAVINGS BANK","8487","9058","FAILURE","PA","BIF"
"31330","SB","NEWARK, NJ","0","2/14/2004","6006","3549","DOLLAR SAVINGS BANK","13408","10909","FAILURE","PO","SAIF"
"26838","N","TALLAHASSEE, FL","0","3/12/2004","4663","3550","GUARANTY NATIONAL BANK","71280","65614","FAILURE","PA","BIF"
"26778","NM","WHITE PLAINS, NY","919","3/19/2004","4664","3551","RELIANCE BANK","28637","27881","FAILURE","PA","BIF"
"1249","SM","EPHRAIM, UT","2998","6/25/2004","4665","3552","BANK OF EPHRAIM","56774","52329","FAILURE","PI","BIF"
"35353","SI","PITTSBURGH, PA","9438","2/2/2007","10000","3553","METROPOLITAN SAVINGS BANK","15760","14540","FAILURE","PI","DIF"
"32575","SB","ALPHARETTA, GA","119608","9/28/2007","10001","3554","NETBANK","2473806","2290046","FAILURE","PI","DIF"
"16848","NM","LAKEVIEW, OH","28394","10/4/2007","10002","3555","MIAMI VALLEY BANK","125362","119601","FAILURE","PI","DIF"
"24660","N","KANSAS CITY, MO","7157","1/25/2008","10003","3556","DOUGLASS NATIONAL BANK","52824","50250","FAILURE","PA","DIF"
"1971","NM","HUME, MO","3755","3/7/2008","10004","3557","HUME BANK","18682","13566","FAILURE","PI","DIF"
"33901","N","BENTONVILLE, AR","1025204","5/9/2008","10005","3558","ANB FINANCIAL NATIONAL ASSOCIATION","1895545","1815691","FAILURE","PI","DIF"
"12736","N","STAPLES, MN","10305","5/30/2008","10006","3559","FIRST INTEGRITY BANK, N.A.","52916","50178","FAILURE","PA","DIF"
"29730","SL","PASADENA, CA","11997618","7/11/2008","10007","3560","INDYMAC BANK F.S.B","30698512","18941727","FAILURE","PI","DIF"
"27011","N","RENO, NV","710417","7/25/2008","10008","3561","FIRST NATIONAL BANK OF NEVADA","3411145","3038053","FAILURE","PA","DIF"
"57961","N","NEWPORT BEACH, CA","92139","7/25/2008","10009","3562","FIRST HERITAGE BANK N.A.","255376","234812","FAILURE","PA","DIF"
"57523","NM","BRADENTON, FL","95555","8/1/2008","10010","3563","FIRST PRIORITY BANK","258610","226698","FAILURE","PI","DIF"
"22728","NM","TOPEKA, KS","334277","8/22/2008","10011","3564","THE COLUMBIAN BANK AND TRUST COMPANY","735071","620354","FAILURE","PI","DIF"
"35469","NM","ALPHARETTA, GA","465942","8/29/2008","10012","3565","INTEGRITY BANK","1107514","962456","FAILURE","PA","DIF"
"34194","NM","HENDERSON, NV","722104","9/5/2008","10013","3566","SILVER STATE BANK","1957120","1733091","FAILURE","PI","DIF"
"6782","SB","NORTHFORK, WV","38290","9/19/2008","10014","3567","AMERIBANK, INC.","103965","100901","FAILURE","PA","DIF"
"32633","SB","HENDERSON, NV","0","9/25/2008","10015","3568","WASHINGTON MUTUAL BANK","307021614","188260793","FAILURE","PA","DIF"
"13789","NM","ELDRED, IL","16618","10/10/2008","10017","3569","MERIDIAN BANK","38223","36090","FAILURE","PA","DIF"
"57654","NM","NORTHVILLE, MI","56318","10/10/2008","10016","3570","MAIN STREET BANK","112368","98934","FAILURE","PA","DIF"
"58241","NM","ALPHARETTA, GA","211264","10/24/2008","10018","3571","ALPHA BANK & TRUST","354090","344231","FAILURE","PI","DIF"
"57930","NM","BRADENTON, FL","113456","10/31/2008","10019","3572","FREEDOM BANK","270842","256793","FAILURE","PA","DIF"
"23595","NM","SAN DIEGO, CA","148255","11/7/2008","10020","3573","SECURITY PACIFIC BANK","527959","456472","FAILURE","PA","DIF"
"26870","SI","HOUSTON, TX","614111","11/7/2008","10021","3574","FRANKLIN BANK, SSB","5089260","3692887","FAILURE","PA","DIF"
"16490","NM","LOGANVILLE, GA","335062","11/21/2008","10022","3575","THE COMMUNITY BANK","634901","603733","FAILURE","PA","DIF"
"28344","SB","POMONA, CA","258807","11/21/2008","10024","3576","PFF BANK & TRUST","3715433","2393845","FAILURE","PA","DIF"
"30968","SL","NEWPORT BEACH, CA","151232","11/21/2008","10023","3577","DOWNEY SAVINGS AND LOAN ASSOCIATION, F.A.","12779371","9653169","FAILURE","PA","DIF"
"7213","N","LAS VEGAS, NV","","11/23/2008","0","3578","CITIBANK, NATIONAL ASSOCIATION","1207007000","230042000","ASSISTANCE","OBAM","DIF"
"18708","SB","WILMINGTON, DE","","11/23/2008","0","3579","CITICORP TRUST BANK, FSB","19599414","7231013","ASSISTANCE","OBAM","DIF"
"18923","NM","CENTURY CITY, CA","","11/23/2008","0","3580","CITIBANK (BANAMEX USA)","1322720","876086","ASSISTANCE","OBAM","DIF"
"23360","N","SIOUX FALLS, SD","","11/23/2008","0","3581","CITIBANK (SOUTH DAKOTA), N.A.","77737957","42356986","ASSISTANCE","OBAM","DIF"
"58180","N","SIOUX FALLS, SD","","11/23/2008","0","3582","DEPARTMENT STORES NATIONAL BANK","374903","300881","ASSISTANCE","OBAM","DIF"
"34301","SM","JACKSON, GA","86315","12/5/2008","10025","3583","FIRST GEORGIA COMMUNITY BANK","256371","215287","FAILURE","PA","DIF"
"11568","NM","SANDERSON, TX","7710","12/12/2008","10026","3584","SANDERSON STATE BANK","38217","32012","FAILURE","PA","DIF"
"35379","NM","DULUTH, GA","246603","12/12/2008","10027","3585","HAVEN TRUST BANK","559551","489692","FAILURE","PA","DIF"
"3510","N","CHARLOTTE, NC","","1/16/2009","0","3586","BANK OF AMERICA N.A.","1471631047","954677580","ASSISTANCE","OBAM","DIF"
"19733","N","BERKELEY, IL","80488","1/16/2009","10028","3587","NATIONAL BANK OF COMMERCE","419741","395868","FAILURE","PA","DIF"
"25178","N","SAN FRANCISCO, CA","","1/16/2009","0","3588","BANK OF AMERICA CALIFORNIA N.A.","21502223","500","ASSISTANCE","OBAM","DIF"
"27374","NM","SALT LAKE CITY, UT","","1/16/2009","0","3589","MERRILL LYNCH BANK USA","61809503","53620324","ASSISTANCE","OBAM","DIF"
"33143","SB","ALEXANDRIA, VA","","1/16/2009","0","3590","COUNTRYWIDE BANK FSB","117978966","43663251","ASSISTANCE","OBAM","DIF"
"33318","N","WILMINGTON, DE","","1/16/2009","0","3591","FIA CARD SERVICES N.A.","159637136","9816599","ASSISTANCE","OBAM","DIF"
"34571","SB","NEW YORK, NY","","1/16/2009","0","3592","MERRILL LYNCH BANK & TRUST CO FSB","37986413","28539028","ASSISTANCE","OBAM","DIF"
"34959","NM","VANCOUVER, WA","150724","1/16/2009","10029","3593","BANK OF CLARK COUNTY","441085","377506","FAILURE","PI","DIF"
"35453","N","PORTLAND, OR","","1/16/2009","0","3594","BANK OF AMERICA OREGON N.A.","11526309","500","ASSISTANCE","OBAM","DIF"
"58032","N","PROVIDENCE, RI","","1/16/2009","0","3595","BANK OF AMERICA RHODE ISLAND N.A.","35410586","500","ASSISTANCE","OBAM","DIF"
"33025","NM","REDLANDS, CA","136041","1/23/2009","10030","3596","1ST CENTENNIAL BANK","797959","678570","FAILURE","PI","DIF"
"26538","N","OCALA, FL","93552","1/30/2009","10032","3597","OCALA NATIONAL BANK","219424","204663","FAILURE","PA","DIF"
"30763","SB","CROFTON, MD","73819","1/30/2009","10033","3598","SUBURBAN FEDERAL SAVINGS BANK","347408","301847","FAILURE","PA","DIF"
"58001","NM","SALT LAKE CITY, UT","170125","1/30/2009","10031","3599","MAGNET BANK","300674","282578","FAILURE","PO","DIF"
"22574","SM","MERCED, CA","61783","2/6/2009","10034","3600","COUNTY BANK","1711552","1324635","FAILURE","PA","DIF"
"23124","NM","CULVER CITY, CA","118079","2/6/2009","10035","3601","ALLIANCE BANK","1113361","951106","FAILURE","PA","DIF"
"57017","NM","MCDONOUGH, GA","151333","2/6/2009","10036","3602","FIRSTBANK FINANCIAL SERVICES","317237","279308","FAILURE","PA","DIF"
"5431","NM","LOUP CITY, NE","42684","2/13/2009","10039","3603","SHERMAN COUNTY BANK","135431","90647","FAILURE","PA","DIF"
"16500","NM","PITTSFIELD, IL","80894","2/13/2009","10037","3604","CORN BELT BANK AND TRUST COMPANY","260201","233788","FAILURE","PA","DIF"
"34563","SM","CAPE CORAL, FL","199818","2/13/2009","10038","3605","RIVERSIDE BANK OF THE GULF COAST","523673","422708","FAILURE","PA","DIF"
"57342","NM","BEAVERTON, OR","10218","2/13/2009","10040","3606","PINNACLE BANK","71921","64168","FAILURE","PA","DIF"
"35399","NM","SILVERTON, OR","39383","2/20/2009","10041","3607","SILVER FALLS BANK","134206","115976","FAILURE","PA","DIF"
"20078","NM","GLENWOOD, IL","48231","2/27/2009","10042","3608","HERITAGE COMMUNITY BANK","235154","225735","FAILURE","PA","DIF"
"34820","NM","HENDERSON, NV","32328","2/27/2009","10043","3609","SECURITY SAVINGS BANK","238307","174872","FAILURE","PA","DIF"
"57558","NM","COMMERCE, GA","43267","3/6/2009","10044","3610","FREEDOM BANK OF GEORGIA","172454","159048","FAILURE","PA","DIF"
"4754","N","PAOLA, KS","134593","3/20/2009","10046","3611","TEAMBANK, N.A.","669830","532520","FAILURE","PA","DIF"
"18243","NM","STOCKBRIDGE, GA","135210","3/20/2009","10047","3612","FIRSTCITY BANK","285015","259056","FAILURE","PO","DIF"
"18896","N","COLORADO SPRINGS, CO","12687","3/20/2009","10045","3613","COLORADO NATIONAL BANK","123508","85150","FAILURE","PA","DIF"
"22238","N","ATLANTA, GA","288415","3/27/2009","10048","3614","OMNI NATIONAL BANK","979585","813205","FAILURE","PO","DIF"
"34639","NM","WILMINGTON, NC","118565","4/10/2009","10049","3615","CAPE FEAR BANK","492418","402820","FAILURE","PA","DIF"
"34881","NM","GREELEY, CO","913432","4/10/2009","10050","3616","NEW FRONTIER BANK","1774588","1496347","FAILURE","DINB","DIF"
"8266","SB","SUGAR CREEK, MO","44669","4/17/2009","10052","3617","AMERICAN STERLING BANK","166456","170946","FAILURE","PA","DIF"
"33824","NM","ELKO, NV","20023","4/17/2009","10051","3618","GREAT BASIN BANK OF NEVADA","238940","220834","FAILURE","PA","DIF"
"32069","NM","CALABASAS, CA","8430","4/24/2009","10054","3619","FIRST BANK OF BEVERLY HILLS","1260354","866492","FAILURE","PO","DIF"
"34369","SM","FARMINGTON HILLS, MI","48551","4/24/2009","10056","3620","MICHIGAN HERITAGE BANK","167710","149065","FAILURE","PA","DIF"
"34396","SB","KETCHUM, ID","109230","4/24/2009","10055","3621","FIRST BANK OF IDAHO, FSB","490656","370580","FAILURE","PA","DIF"
"57943","NM","KENNESAW, GA","32820","4/24/2009","10053","3622","AMERICAN SOUTHERN BANK","105950","105940","FAILURE","PA","DIF"
"26535","N","ATLANTA, GA","644302","5/1/2009","10059","3623","SILVERTON BANK, NATIONAL ASSOCIATION","4157246","3314928","FAILURE","PO","DIF"
"35461","NM","LAYTON, UT","114334","5/1/2009","10057","3624","AMERICA WEST BANK","281564","286040","FAILURE","PA","DIF"
"57563","NM","RIDGEWOOD, NJ","18187","5/1/2009","10058","3625","CITIZENS COMMUNITY BANK","40657","40664","FAILURE","PA","DIF"
"34843","NM","BREMERTON, WA","81050","5/8/2009","10060","3626","WESTSOUND BANK","334608","304464","FAILURE","PA","DIF"
"32247","SB","CORAL GABLES, FL","5228684","5/21/2009","10061","3627","BANKUNITED, FSB","13111463","8775985","FAILURE","PA","DIF"
"5757","N","MACOMB, IL","30586","5/22/2009","10063","3628","CITIZENS NATIONAL BANK","438560","393635","FAILURE","PA","DIF"
"35175","NM","CHAMPAIGN, IL","92681","5/22/2009","10062","3629","STRATEGIC CAPITAL BANK","546576","479384","FAILURE","PA","DIF"
"17309","NM","LINCOLNWOOD, IL","70928","6/5/2009","10064","3630","BANK OF LINCOLNWOOD","212718","209285","FAILURE","PA","DIF"
"4614","N","ANTHONY, KS","33230","6/19/2009","10066","3631","FIRST NATIONAL BANK OF ANTHONY","156954","142551","FAILURE","PA","DIF"
"27837","NM","WILMINGTON, NC","287345","6/19/2009","10065","3632","COOPERATIVE BANK","966778","768479","FAILURE","PA","DIF"
"35251","NM","FAYETTEVILLE, GA","136636","6/19/2009","10067","3633","SOUTHERN COMMUNITY BANK","371695","297962","FAILURE","PA","DIF"
"9744","NM","PINE CITY, MN","24010","6/26/2009","10070","3634","HORIZON BANK","84763","69254","FAILURE","PA","DIF"
"35285","SM","NEWNAN, GA","80745","6/26/2009","10069","3635","NEIGHBORHOOD COMMUNITY BANK","212616","190070","FAILURE","PA","DIF"
"57332","NM","LOS ANGELES, CA","45309","6/26/2009","10072","3636","MIRAE BANK","480619","409951","FAILURE","PA","DIF"
"57436","SM","VILLA RICA, GA","71712","6/26/2009","10068","3637","COMMUNITY BANK OF WEST GEORGIA","201222","189398","FAILURE","PO","DIF"
"57893","NM","IRVINE, CA","32168","6/26/2009","10071","3638","METROPACIFIC BANK","75316","70078","FAILURE","PA","DIF"
"3644","N","DANVILLE, IL","24202","7/2/2009","10078","3639","THE FIRST NATIONAL BANK OF DANVILLE","148218","140185","FAILURE","PA","DIF"
"9262","NM","ELIZABETH, IL","9832","7/2/2009","10073","3640","THE ELIZABETH STATE BANK","55027","48131","FAILURE","PA","DIF"
"11710","NM","WINCHESTER, IL","8030","7/2/2009","10077","3641","THE FIRST STATE BANK OF WINCHESTER","30073","30806","FAILURE","PA","DIF"
"12093","NM","CLINTON, IL","14315","7/2/2009","10076","3642","THE JOHN WARNER BANK","69609","65179","FAILURE","PA","DIF"
"15302","NM","OREGON, IL","18558","7/2/2009","10075","3643","ROCK RIVER BANK","74808","74896","FAILURE","PA","DIF"
"18390","NM","WORTH, IL","129512","7/2/2009","10074","3644","FOUNDERS BANK","889172","832160","FAILURE","PA","DIF"
"57667","NM","DALLAS, TX","52700","7/2/2009","10079","3645","MILLENNIUM STATE BANK OF TEXAS","118601","115478","FAILURE","PA","DIF"
"22754","NM","THERMOPOLIS, WY","32543","7/10/2009","10080","3646","BANK OF WYOMING","70188","66598","FAILURE","PA","DIF"
"23556","N","RANCHO CUCAMONGA, CA","278591","7/17/2009","10083","3647","VINEYARD BANK, NATIONAL ASSOCIATION","1638378","1526186","FAILURE","PA","DIF"
"34103","SM","SIOUX FALLS, SD","110201","7/17/2009","10081","3648","BANKFIRST","210844","232203","FAILURE","PA","DIF"
"34341","NM","TEMECULA, CA","227400","7/17/2009","10082","3649","TEMECULA VALLEY BANK","1396622","1276287","FAILURE","PA","DIF"
"34594","NM","WINDER, GA","37998","7/17/2009","10084","3650","FIRST PIEDMONT BANK","114113","108499","FAILURE","PA","DIF"
"8486","NM","GRAY, GA","98201","7/24/2009","10088","3651","SECURITY BANK OF JONES COUNTY","432712","375238","FAILURE","PA","DIF"
"27048","NM","PERRY, GA","50980","7/24/2009","10087","3652","SECURITY BANK OF HOUSTON COUNTY","371624","313155","FAILURE","PA","DIF"
"27367","NM","MACON, GA","414269","7/24/2009","10085","3653","SECURITY BANK OF BIBB COUNTY","943744","831437","FAILURE","PA","DIF"
"57105","NM","WOODSTOCK, GA","102031","7/24/2009","10090","3654","SECURITY BANK OF NORTH METRO","184184","182413","FAILURE","PA","DIF"
"57346","NM","SUWANNEE, GA","193409","7/24/2009","10086","3655","SECURITY BANK OF GWINNETT COUNTY","259182","256578","FAILURE","PA","DIF"
"57430","NM","ALPHARETTA, GA","49000","7/24/2009","10089","3656","SECURITY BANK OF NORTH FULTON","190564","179523","FAILURE","PA","DIF"
"58065","NM","WILLIAMSVILLE, NY","7875","7/24/2009","10091","3657","WATERFORD VILLAGE BANK","55707","56145","FAILURE","PA","DIF"
"9873","NM","ALTUS, OK","25969","7/31/2009","10093","3658","FIRST STATE BANK OF ALTUS","90867","98161","FAILURE","PA","DIF"
"18659","NM","HARVEY, IL","793841","7/31/2009","10094","3659","MUTUAL BANK","1595657","1546525","FAILURE","PA","DIF"
"32288","SB","WEST CHESTER, OH","61523","7/31/2009","10096","3660","PEOPLES COMMUNITY BANK","606153","538787","FAILURE","PA","DIF"
"34270","NM","ELIZABTH, NJ","20048","7/31/2009","10097","3661","FIRST BANKAMERICANO","163372","155463","FAILURE","PA","DIF"
"57604","NM","JUPITER, FL","36473","7/31/2009","10095","3662","INTEGRITY BANK","105298","98511","FAILURE","PA","DIF"
"23268","SM","PRINEVILLE, OR","73567","8/7/2009","10092","3663","COMMUNITY FIRST BANK","199508","180691","FAILURE","PA","DIF"
"27183","N","VENICE, FL","25369","8/7/2009","10099","3664","COMMUNITY NATIONAL BANK OF SARASOTA COUNTY","92528","92352","FAILURE","PA","DIF"
"27364","NM","SARASOTA, FL","119466","8/7/2009","10098","3665","FIRST STATE BANK","447667","394701","FAILURE","PA","DIF"
"9609","NM","MONTGOMERY, AL","2378677","8/14/2009","10103","3666","COLONIAL BANK","25455112","20072099","FAILURE","PA","DIF"
"31559","SL","PITTSBURGH, PA","8352","8/14/2009","10104","3667","DWELLING HOUSE SAVINGS AND LOAN","12947","12984","FAILURE","PA","DIF"
"34043","SM","LAS VEGAS, NV","557962","8/14/2009","10100","3668","COMMUNITY BANK OF NEVADA","1397798","1372744","FAILURE","DINB","DIF"
"34485","N","GILBERT, AZ","51989","8/14/2009","10102","3669","UNION BANK, NATIONAL ASSOCIATION","119529","110362","FAILURE","PA","DIF"
"57645","NM","PHOENIX, AZ","26760","8/14/2009","10101","3670","COMMUNITY BANK OF ARIZONA","158517","143834","FAILURE","PA","DIF"
"22130","SM","BIRMINGHAM, AL","126332","8/21/2009","10106","3671","CAPITALSOUTH BANK","586586","539422","FAILURE","PA","DIF"
"32618","SB","AUSTIN, TX","0","8/21/2009","10105","3672","GUARANTY BANK","13464352","11984112","FAILURE","PA","DIF"
"34682","SB","ATLANTA, GA","49948","8/21/2009","10107","3673","EBANK","144688","131510","FAILURE","PA","DIF"
"57702","NM","NEWNAN, GA","66684","8/21/2009","10108","3674","FIRST COWETA","163755","154903","FAILURE","PA","DIF"
"1909","NM","FOREST LAKE, MN","89930","8/28/2009","10111","3675","MAINSTREET BANK","458533","432818","FAILURE","PA","DIF"
"27197","NM","VENTURA, CA","234069","8/28/2009","10110","3676","AFFINITY BANK","1211431","905593","FAILURE","PA","DIF"
"28312","SB","BALTIMORE, MD","46897","8/28/2009","10109","3677","BRADFORD BANK","451888","382159","FAILURE","PA","DIF"
"20203","NM","OAK FOREST, IL","56911","9/4/2009","10113","3678","INBANK","209848","209211","FAILURE","PA","DIF"
"25231","NM","KANSAS CITY, MO","7548","9/4/2009","10112","3679","FIRST BANK OF KANSAS CITY","15723","14479","FAILURE","PA","DIF"
"27732","SB","SIOUX CITY, IA","101576","9/4/2009","10116","3680","VANTUS BANK","503643","394369","FAILURE","PA","DIF"
"34875","NM","FLAGSTAFF, AZ","49833","9/4/2009","10114","3681","FIRST STATE BANK","107235","95734","FAILURE","PA","DIF"
"35030","SB","ROLLING MEADOWS, IL","0","9/4/2009","10115","3682","PLATINUM COMMUNITY BANK","147961","110186","FAILURE","PO","DIF"
"13693","N","CHICAGO, IL","0","9/11/2009","10117","3683","CORUS BANK, N.A.","7003321","7060693","FAILURE","PA","DIF"
"22868","NM","LACEY, WA","201128","9/11/2009","10119","3684","VENTURE BANK","968385","917729","FAILURE","PA","DIF"
"57736","NM","WOODBURY, MN","24597","9/11/2009","10118","3685","BRICKWELL COMMUNITY BANK","72576","64981","FAILURE","PA","DIF"
"10100","SM","COLUMBUS, IN","755962","9/18/2009","10120","3686","IRWIN UNION BANK AND TRUST COMPANY","2839747","2254025","FAILURE","PA","DIF"
"57068","SB","LOUISVILLE, KY","114006","9/18/2009","10121","3687","IRWIN UNION BANK, FSB","518151","462611","FAILURE","PA","DIF"
"57151","NM","ATLANTA, GA","960820","9/25/2009","10122","3688","GEORGIAN BANK","2230230","1960123","FAILURE","PA","DIF"
"11416","NM","SPRING GROVE, MN","18876","10/2/2009","10124","3689","JENNINGS STATE BANK","52347","50801","FAILURE","PA","DIF"
"34824","SM","WARREN, MI","217487","10/2/2009","10125","3690","WARREN BANK","504816","467767","FAILURE","PA","DIF"
"57263","N","PUEBLO, CO","8323","10/2/2009","10123","3691","SOUTHERN COLORADO NATIONAL BANK","37142","29568","FAILURE","PA","DIF"
"23266","SM","BAKERSFIELD, CA","79080","10/16/2009","10126","3692","SAN JOAQUIN BANK","766359","626359","FAILURE","PA","DIF"
"18321","SM","RACINE, WI","99463","10/23/2009","10132","3693","BANK OF ELMWOOD","327444","272782","FAILURE","PA","DIF"
"35038","NM","WESTMONT, IL","85319","10/23/2009","10128","3694","FIRST DUPAGE BANK","262093","253992","FAILURE","PA","DIF"
"35044","N","BRADENTON, FL","62112","10/23/2009","10129","3695","FLAGSHIP NATIONAL BANK","177563","170118","FAILURE","PA","DIF"
"57525","NM","OSTEGO, MN","23476","10/23/2009","10133","3696","RIVERVIEW COMMUNITY BANK","99057","75012","FAILURE","PA","DIF"
"57794","NM","LAWRENCEVILLE, GA","44018","10/23/2009","10127","3697","AMERICAN UNITED BANK","110094","102386","FAILURE","PA","DIF"
"57959","SB","NAPLES, FL","31809","10/23/2009","10130","3698","PARTNERS BANK","65498","64798","FAILURE","PA","DIF"
"58336","NM","NAPLES, FL","42976","10/23/2009","10131","3699","HILLCREST BANK FLORIDA","82774","83254","FAILURE","PA","DIF"
"11677","N","CHICAGO, IL","7691","10/30/2009","10140","3700","PARK NATIONAL BANK","4680881","3716626","FAILURE","PA","DIF"
"18776","NM","HOUSTON, TX","12000","10/30/2009","10138","3701","NORTH HOUSTON BANK","325474","307166","FAILURE","PA","DIF"
"23594","N","SAN DIEGO, CA","41431","10/30/2009","10135","3702","SAN DIEGO NATIONAL BANK","3594544","2891576","FAILURE","PA","DIF"
"25222","N","TEAGUE, TX","5846","10/30/2009","10141","3703","CITIZENS NATIONAL BANK","118236","97590","FAILURE","PA","DIF"
"30006","N","SAN FRANCISCO, CA","63113","10/30/2009","10139","3704","PACIFIC NATIONAL BANK","2319263","1757986","FAILURE","PA","DIF"
"32218","N","PHOENIX, AZ","11741","10/30/2009","10136","3705","BANK USA, NA","213205","170685","FAILURE","PA","DIF"
"33782","NM","MADISONVILLE, TX","0","10/30/2009","10142","3706","MADISONVILLE STATE BANK","256330","224653","FAILURE","PA","DIF"
"34659","N","LOS ANGELES, CA","186905","10/30/2009","10134","3707","CALIFORNIA NATIONAL BANK","7781100","6145207","FAILURE","PA","DIF"
"35291","NM","LEMONT, IL","25945","10/30/2009","10137","3708","COMMUNITY BANK OF LEMONT","81843","80688","FAILURE","PA","DIF"
"19450","NM","ST LOUIS, MO","11648","11/6/2009","10146","3709","GATEWAY BANK OF ST LOUIS","26882","27534","FAILURE","PA","DIF"
"22286","NM","SPARTA, GA","60895","11/6/2009","10145","3710","UNITED SECURITY BANK","153639","149616","FAILURE","PA","DIF"
"30329","SB","DETROIT, MI","8612","11/6/2009","10144","3711","HOME FEDERAL SAVINGS BANK","12994","12730","FAILURE","PA","DIF"
"32469","NM","SAN FRANCISCO, CA","577523","11/6/2009","10147","3712","UNITED COMMERCIAL BANK","10895336","7653666","FAILURE","PA","DIF"
"35074","NM","OAKDALE, MN","31685","11/6/2009","10143","3713","PROSPERAN BANK","197442","182794","FAILURE","PA","DIF"
